mtime,A,B,C,D,E,F,G,H,I,J
2021-11-01T03:55,3125,1965,1295,1114,1059,4189,1319,215,3801,6720
2021-11-01T04:00,1971,1627,978,1048,3179,3973,1233,406,4457,6266
2021-11-01T04:05,2790,1864,1008,1030,2104,4156,1087,248,3038,3942
2021-11-01T04:10,2711,1522,922,1156,2704,3920,917,219,4491,4206
2021-11-01T04:15,2108,2251,795,1177,2740,3260,1422,189,3095,6335
2021-11-01T04:20,1596,2194,1088,788,2462,3174,1146,175,4917,3826
2021-11-01T04:25,1803,1734,1003,995,2191,2434,1362,231,3347,3817
2021-11-01T04:30,2158,1923,1065,925,2477,2757,901,190,3882,5710
2021-11-01T04:35,2001,1397,672,1053,2367,1981,975,259,3438,6081
2021-11-01T04:40,2184,1153,651,892,1864,2696,1278,160,3836,3569
2021-11-01T04:45,2181,1725,987,1272,1972,1882,787,207,4158,5836
2021-11-01T04:50,2060,1173,1008,1128,1757,3485,1176,240,3614,4798
2021-11-01T04:55,2349,1643,808,930,1720,2837,1344,157,4011,4226
2021-11-01T05:00,1759,1726,1149,1136,3401,4200,1268,243,5172,5044
2021-11-01T05:05,1798,1686,880,859,3086,3020,1007,129,3558,4157
2021-11-01T05:10,1513,1813,836,933,4391,3649,846,197,5221,5654
2021-11-01T05:15,2089,1849,998,822,5403,3531,1468,162,4571,5578
2021-11-01T05:20,2327,1990,1267,1074,3381,2962,1310,217,6691,5447
2021-11-01T05:25,2457,1169,1115,983,4910,3822,1042,193,5572,6952
2021-11-01T05:30,2940,1609,953,1509,4885,3423,1131,171,4935,5984
2021-11-01T05:35,2299,2327,1516,1373,5061,3336,1579,192,6381,7638
2021-11-01T05:40,2725,2540,2155,1456,3086,3151,1949,301,9315,9898
2021-11-01T05:45,3690,2677,1680,1159,4281,5504,1881,335,6596,8377
2021-11-01T05:50,2995,1819,2531,1397,3584,5365,2309,347,10288,9950
2021-11-01T05:55,3828,2393,2368,1951,5018,3512,2339,381,9499,14589
2021-11-01T06:00,3239,2067,1731,2063,7911,6241,2316,340,7988,13908
2021-11-01T06:05,4301,2228,1915,1588,8772,4537,2416,380,9183,12413
2021-11-01T06:10,4288,2875,1974,1649,10842,6740,2440,479,11569,12270
2021-11-01T06:15,10802,4343,5731,1544,19898,10826,4665,887,27628,39029
2021-11-01T06:20,8864,8246,6692,1538,22748,12217,6196,1412,40139,35422
2021-11-01T06:25,10357,4839,5258,2304,26192,13512,7348,1281,34025,59051
2021-11-01T06:30,11401,5603,7229,2812,22154,19057,5265,1153,23633,30384
2021-11-01T06:35,10458,6172,6569,3104,17607,12477,6886,764,17991,46508
2021-11-01T06:40,7879,5456,5944,2556,15697,17303,6952,1341,24738,44726
2021-11-01T06:45,7637,5233,6740,2951,9738,11193,6853,903,20505,32415
2021-11-01T06:50,6678,5041,5660,2478,10783,13521,5019,1161,16136,25188
2021-11-01T06:55,7032,7377,5321,2029,7693,9001,6548,900,26765,37035
2021-11-01T07:00,6772,7196,5333,2673,15874,12916,5658,1115,24504,32463
2021-11-01T07:05,9235,5453,4161,2963,16024,16410,4032,771,22675,25965
2021-11-01T07:10,9144,6147,3698,4420,13036,13873,3858,1053,21567,36337
2021-11-01T07:15,6148,8614,5291,3192,14379,15631,5092,1217,24623,22703
2021-11-01T07:20,5975,8424,3875,4127,10293,15941,5114,1040,22420,23347
2021-11-01T07:25,8334,8276,6106,3510,10704,12342,4248,791,19613,25209
2021-11-01T07:30,10728,10198,4059,5248,7108,17953,5236,904,25381,22997
2021-11-01T07:35,9467,11021,4857,4072,9239,19472,6140,1474,23280,30110
2021-11-01T07:40,7948,13111,5022,5183,8566,19730,5747,1497,24733,27795
2021-11-01T07:45,6630,12243,5640,3962,6471,23798,5798,1050,23048,32783
2021-11-01T07:50,6485,7408,6147,3754,5966,14602,5532,993,22045,31906
2021-11-01T07:55,9683,11043,6451,4434,7655,19941,5619,1122,21803,30096
2021-11-01T08:00,8982,8296,4536,5847,8638,25776,5813,1598,18483,31673
2021-11-01T08:05,7451,13653,6164,6297,14553,20579,4870,2051,23098,44937
2021-11-01T08:10,7137,9356,7335,3971,16813,24911,7413,1301,29835,41137
2021-11-01T08:15,7734,14786,8195,4498,7000,22222,7153,2566,17196,36100
